project ID,project name,companies of project,role of company,location of company,source,
VCS5475,KUBURAYA MANGROVE: CONCESSION TO CONSERVATION PROJECT,Agraus Resources,Equity investor to the project implementation,"Jakarta, Indonesia",https://agrausresources.com/,
VCS5032,Kupu-Kupu Project - Enhancing Livelihoods through Mangrove Restoration and Silvofishery in South Sulawesi,Vlinder Austria GmbH(Proponent),Project proponent,Austria,https://vlinderclimate.com/,
VCS5032,Kupu-Kupu Project - Enhancing Livelihoods through Mangrove Restoration and Silvofishery in South Sulawesi,Manggala Karbon Indonesia,"Administration, project monitoring, community projects development","Jakarta, Indonesia",https://vlinderclimate.com/kupu-kupu,
VCS1493,"Mangrove restoration and coastal greenbelt protection in the East coast of Aceh and North Sumatra Province, Indonesia",Livelihoods Fund SICAV SUF,Project Proponent,"Paris, France",https://livelihoods.eu/,
VCS1493,"Mangrove restoration and coastal greenbelt protection in the East coast of Aceh and North Sumatra Province, Indonesia",Yagasu Aceh,Project Developer,Indonesia,https://yagasu.or.id/,
VCS1493,"Mangrove restoration and coastal greenbelt protection in the East coast of Aceh and North Sumatra Province, Indonesia",UNIQUE forestry and land use GmbH,Carbon consultant,"Madrid, Spain",https://www.unique-landuse.de/en/,
VCS409,MedcoEnergi Associated Gas Recovery and Utilization Project,PT. Medco LPG Kaji (MLK),Project Proponent,?,https://www.medcoenergi.com/,
VCS4520,Muara Teweh Conservation Project,Fairatmos International Pte. Ltd.,Project Proponent,Singapore,https://www.fairatmos.com/,
VCS4520,Muara Teweh Conservation Project,PT Austral Byna,Asset owner and operator,"Jakarta, Indonesia",XXX,
VCS5845,Nunukan Mangrove and Peatland,Bumi Hijau Konservasi,Project proponent,"Indonesia, Jakarta",https://companieshouse.id/bumi-hijau-konservasi-1219022,
VCS5845,Nunukan Mangrove and Peatland,PT Udara Untuk Semua - FAIRATMOS,Project developer,"Indonesia, Jakarta",https://www.fairatmos.com/,
VCS4967,PLUM Peat and Mangrove Conservation and Restoration Project (PLUM Project),PT Pagatan Usaha Makmur ,Project Proponent,"Jakarta, Indonesia",https://plumproject.id/,
VCS4967,PLUM Peat and Mangrove Conservation and Restoration Project (PLUM Project),PT Gaia Eko Daya Buana,Technical support on carbon calculations and PD development,"Jakarta, Indonesia",https://gaia.id/our-history/,
VCS4967,PLUM Peat and Mangrove Conservation and Restoration Project (PLUM Project),PT Terrathrive Bakti Indonesia,Technical lead for MRV,"Jakarta, Indonesia",https://plumproject.id/,
VCS4967,PLUM Peat and Mangrove Conservation and Restoration Project (PLUM Project),Syngenera Pte. Ltd,Project development and management support,Singapore,https://www.syngenera.com/,
VCS5585,Project Lestari,PT. Agra Inti Investama,Project proponent,"Sumatera, Indonesia",https://www.agracorp.id/,
VCS5585,Project Lestari,Deloitte Advisory (Hong Kong) Limited,Advisory for project development,Hong Kong,https://www.deloitte.com/cn/en/offices/hongkong.html,
VCS2403,Riau Ecosystem Restoration Carbon Project,ASIA PACIFIC RESOURCES INTERNATIONAL LTD (APRIL),Project proponent,?,https://www.aprilasia.com/en/,
VCS2403,Riau Ecosystem Restoration Carbon Project,Riau ecosystem restoration,Project proponent,?,https://www.rekoforest.org/,
VCS2403,Riau Ecosystem Restoration Carbon Project,PT. GEMILANG CIPTA NUSANTARA,Project proponent,?,XXX,
VCS2403,Riau Ecosystem Restoration Carbon Project,PT. THE BEST ONE UNITIMBER,Project proponent,?,XXX,
VCS2403,Riau Ecosystem Restoration Carbon Project,PT. GLOBAL ALAM NUSANTARA,Project proponent,?,XXX,
VCS2403,Riau Ecosystem Restoration Carbon Project,PT. SINAR MUTIARA NUSANTARA,Project proponent,?,XXX,
VCS2403,Riau Ecosystem Restoration Carbon Project,Himpanzee Pte Ltd,Project Developer,?,https://www.himpanzee.com/,
VCS674,Rimba Raya Biodiversity Reserve Project,Forest Carbon (registered as Equator Group Pte Ltd),Project proponent,Singapore,https://forestcarbon.com/,
VCS674,Rimba Raya Biodiversity Reserve Project,InfiniteEARTH,Project proponent,?,XXX,
VCS674,Rimba Raya Biodiversity Reserve Project,Orangutan Foundation International,?,?,XXX,
VCS674,Rimba Raya Biodiversity Reserve Project,World Education,?,?,https://worlded.org/,
VCS5283,Seram Climate and Conservation (SERCOVA),PT Strata Pacific (proponent),Project Proponent,"Jakarta, Indonesia",https://www.linkedin.com/company/pt-strata-pacific,
VCS5283,Seram Climate and Conservation (SERCOVA),PT Gaia Eko Daya Buana,Consultant in Carbon project development,"Jakarta, Indonesia",https://gaia.id/our-history/,
VCS5695,Siluk Peatlands Conservation Project,PT. Annisa Surya Kencana,Project Proponent,Indonesia,https://www.linkedin.com/company/pt-annisa-surya-kencana,
VCS5695,Siluk Peatlands Conservation Project,PT. Karbon Natura Indonesia,Technical advisor ,"Jakarta, Indonesia",https://www.linkedin.com/company/karbon-natura-indonesia/?originalSubdomain=id,
VCS4782,South Barito Kapuas Project,PT Nusantara Solusi Raya,Project Proponent,"Jakarta, Indonesia",https://www.alihdayansr.com/,
VCS4782,South Barito Kapuas Project,Yayasan Hamparan Eco Semesta,Overall Supervision and oversight,"Jakarta, Indonesia",https://www.linkedin.com/company/hes-foundation-yayasan-hamparan-eco-semesta/,
VCS4782,South Barito Kapuas Project,PT Hamparan Eco Semesta,Community development and engagement,"Jakarta, Indonesia",https://www.linkedin.com/company/hes-foundation-yayasan-hamparan-eco-semesta/,
VCS4782,South Barito Kapuas Project,Zero Carbon Forestry Management Pte Ltd,Investment manager and project consultant,Singapore,https://www.linkedin.com/company/zcf-investments/,
VCS4782,South Barito Kapuas Project,Ata Marie Group Ltd,"Forest Inventory Survey, Carbon Modelling and Project Document Preparation","Jakarta, Indonesia",https://www.ata-marie.com/,
VCS4782,South Barito Kapuas Project,PT Konsultan Karbon Lestari,SRN Consultant,"Jakarta, Indonesia",https://www.linkedin.com/company/konsultan-karbon-lestari/?originalSubdomain=id,
VCS1899,Sumatra Merang Peatland Project (SMPP),PT Global Alam Lestari,Project proponent,"Riau, Indonesia",https://globalalamlestari.wordpress.com/,
VCS1899,Sumatra Merang Peatland Project (SMPP),Forest Carbon (registered as Equator Group Pte Ltd),Project proponent,Singapore,https://forestcarbon.com/,
VCS1899,Sumatra Merang Peatland Project (SMPP),Althelia Climate Fund,Technical partner,London,https://www.eib.org/en/projects/all/20100720,
VCS1899,Sumatra Merang Peatland Project (SMPP),Ecosphere+,Technical partner,London,https://www.weforum.org/organizations/ecosphere/,
VCS3591,The Mayas Project,PT. Karbon Natura Indonesia,Technical assistance,"Jakarta, Indonesia",https://www.linkedin.com/company/karbon-natura-indonesia/?originalSubdomain=id,
VCS3591,The Mayas Project,PT Mohairson Pawan Khatulistiwa,Project proponent,Indonesia,https://ptmpk.com/id-ds/public/,
VCS3591,The Mayas Project,Yayasan Inisiasi Alam Rehabilitasi Indonesia (YIARI),"YIARI is a non-profit foundation with expertise in wildlife protection, biodiversity conservation and implementing sustainable community-led conservation strategies in the same region as the Mayas Project. In 2009 YIARI established the first rescue centre for orangutans in Ketapang, West Borneo. For more than ten years, YIARI has been working alongside communities and other local actors to raise awareness of the importance of natural ecosystems and for the preservation of natural ecosystems, particularly forest and swamp forest ecosystems home to orangutan and other endangered and critically endangered wildlife. YIARI will provide services to the Mayas Project including; community development and consultation, and communities facilitation for forest protection, and biodiversity conservation consultancy",Indonesia,https://yiari.or.id/,
